PERIOD,CODE,NAME,PREREQUISITE,COREQUISITE,TIME,,
1,MMO00083,ANATOMIA ANIMAL I,,,"3M12
4T34",,
1,MMO00083,ANATOMIA ANIMAL I,,,"3T34
5T34",,
1,MMO00083,ANATOMIA ANIMAL I,,,"3M12
3M78
4T34
4T910
***",,
1,MMO00083,ANATOMIA ANIMAL I,,,"1T15
3T36
5T36",,
1,MMO00083,ANATOMIA ANIMAL I,,,"1T58
3T34
3T78
5T34
5T78",,"
"
1,MMO00083,ANATOMIA ANIMAL I,,,"3T34
3T910
5T34
5T910
**",,
1,GNE00063,BIOFISICA III,,,4M310,,
1,GCM00024,BIOLOGIA CELULAR I,,,2M38,,
1,GCM00023,BIOQUÍMICA III,,,"5M310
**",,
1,MGV00007,INTRODUÇÃO À MEDICINA VETERINARIA,,,2T47,,
2,MMO00084,ANATOMIA ANIMAL II,MMO00083,,"3M35
4M35
",,
2,MMO00084,ANATOMIA ANIMAL II,MMO00083,,"3M13
**
4M19",,
2,MMO00084,ANATOMIA ANIMAL II,MMO00083,,"3T13
4T35",,
2,MMO00084,ANATOMIA ANIMAL II,MMO00083,,"3T13
**
4T19",,
2,MMO00062,EMBRIOLOGIA,,,3M710,,
2,MMO00062,EMBRIOLOGIA,,,3T710,,
2,MFL00065,FARMACOLOGIA VETERINARIA I,GCM00023;GNE00063,MFL00063,1T38,,
2,MFL00063,FISIOLOGIA VETERINARIA I,GCM00023;GNE00063,MFL00065,**,,
2,MZO00076,GENÉTICA ANIMAL I,,,4M37,,
2,MZO00076,GENÉTICA ANIMAL I,,,4T39,,
2,MZO00076,GENÉTICA ANIMAL I,,,4T37,,
2,MZO00076,GENÉTICA ANIMAL I,,,4M510,,
2,MMO00060,HISTOLOGIA VII,GCM00024,,**,,
2,MMO00060,HISTOLOGIA VII,GCM00024,,**,,
3,MZO00042,ECOLOGIA APLICADA A PRODUCAO ANIMAL,,,2M16,,
3,MFL00066,FARMACOLOGIA VETERINARIA II,MFL00065,MFL00064,3T38,,
3,MFL00064,FISIOLOGIA VETERINARIA II,MFL00063,MFL00066,"4T38
**",,
3,MFL00064,FISIOLOGIA VETERINARIA II,MFL00063,MFL00066,"4M510
**",,
3,MMO00061,HISTOLOGIA VIII	,MMO00060,GIM00026,**,,
3,MMO00061,HISTOLOGIA VIII	,MMO00060,GIM00026,**,,
3,GIM00026,IMUNOLOGIA,GCM00023;GCM00024;MMO00060,MMO00061 ,2T58,,
3,GIM00026,IMUNOLOGIA,GCM00023;GCM00024;MMO00060,MMO00061 ,**,,
3,MGV00002,METODOLOGIA CIENTIFICA	,,,1M58,,
3,MZO00043,TOXICOL. VETERINARIA E PLANTAS TOXICAS	,MFL00063;MFL00065,MFL00064;MFL00066 ,**,,
4,MIP00072,BACTERIOLOGIA III,GIM00026,,"1T36
2T36",,
4,GET00041,BIOESTATISTICA,,,"1M36
3M36",,
4,MZO00045,EZOOGNOSIA,MMO00084,MZO00046,4M38,,
4,MZO00048,FORRAGICULTURA,GCM00023,MZO00044;MZO00046,3T38,,
4,MZO00044,NUTRICAO E ALIMENTACAO ANIMAL,GCM00023;MFL00064,MZO00046;MZO00048,5M38,,
4,MIP00071,VIROLOGIA III,GIM00026,,2M510,,
4,MIP00071,VIROLOGIA III,GIM00026,,**,,
4,MZO00046,ZOOTECNIA I,GCM00023;MFL00064;MMO00084,MZO00044;MZO00048;MZO00045,"**
**
**",,
5,MZO00050,AQUICULTURA,MIP00071;MIP00072;MZO00044,,1M17,,
5,MZO00050,AQUICULTURA,MIP00071;MIP00072;MZO00044,,1T39,,
5,MZO00050,AQUICULTURA,MIP00071;MIP00072;MZO00044,,"1M57
2M15",,
5,MGV00008,DEONTOLOGIA E LEGISL. MED-VETERINARIA	,MGV00007,,1M710,,
5,MSV00011,EPIDEMIOLOGIA GERAL	,GET00041;MIP00071;MIP00072,,**,,
5,GIM00027,IMUNOPATOLOGIA,GIM00026,,3T37,,
5,GIM00027,IMUNOPATOLOGIA,GIM00026,,3T710,,
5,MZO00077,"MELHORAMENTO GENÉTICO DOS 
ANIMAIS. DOMÉSTICOS I        ",MZO00076;GET00041,,5M39,,
5,MIP00074,MICOLOGIA IV	,GIM00026,,4T39,,
5,MIP00074,MICOLOGIA IV	,GIM00026,,4M510,,
5,MIP00073,PARASITOLOGIA,MIP0007;MIP00072,,**,,
5,MIP00073,PARASITOLOGIA,MIP0007;MIP00072,,"3T37
4T310",,
5,MCV00058,PATOLOGIA GERAL II	,GIM00026;MFL00064;MMO00061,,3M37,,
5,MTA00020,"TECNOLOGIA DE LEITE E PRODUTOS 
LACTEOS        ",MZO00044;MZO00046,,2M510,,
6,MCV00062,ANATOMIA PATOLÓGICA VETERINÁRIA I,MMO00084;MZO00043;MIP00071;MIP00072;GIM00027;MCV00058;MIP00073;MIP00074,MCV00061;MCV00069;MCV00074 ,4T310,,
6,MCV00069,DIAGNOSTICO VETERINARIO POR IMAGEM I	,MFL00064,MCV00061;MCV00062;MCV00069 ,3T37,,
6,MSV00012,"DOENCAS PARAS DOS ANIMAIS 
DOMESTICOS        ",MIP00073,,"1M39
2M37",,
6,MCV00074,PATOLOGIA CLÍNICA VETERINÁRIA I	,MFL00064;GIM00027;MCV00058,MCV00061;MCV00062;MCV00069 ,4M510,,
6,MCV00061,SEMIOLOGIA VETERINARIA	,MFL00064;MZO00045,MCV00062;MCV00069;MCV00074 ,3M310,,
6,MTA00021,"TEC AVES,COEL,OVOS,MEL,CER ABEL E 
DERIV.        ",,MZO00047 ,2M710,,
6,MTA00023,TECNOLOGIA DE PESCADO E DERIVADOS        ,MZO00050,,5M39,,
6,MZO00047,ZOOTECNIA II,GCM00023;MFL00064,MTA00021 ,"**
2T37",,
7,MCV00063,ANATOMIA PATOLÓGICA VETERINÁRIA II	,MCV00062,MCV00065;MCV00070;MCV00075,2T310,,
7,MCV00077,ANESTESIOLOGIA VETERINÁRIA	,MFL00064;MFL00066;MCV00061,,5M37,,
7,MCV00065	,CLÍNICA MÉDICA DE CÃES E GATOS I	,MFL00064;MFL00066;MCV00061,MCV00063;MCV00070;MCV00075,2M39,,
7,MCV00070,DIAGNOSTICO VETERINARIO POR IMAGEM II	,MCV00069,MCV00063;MCV00065;MCV00075,**,,
7,MSV00014,DOENCAS INFECCIOSAS DOS ANIM. DOMESTICOS	,MCV00062,,"**
**",,
7,MCV00075,PATOLOGIA CLÍNICA VETERINÁRIA II	,MCV00074;MSV00012,MCV00063;MCV00065 ,1M39,,
7,MSV00013,SANIDADE AVICOLA	,MCV00062;MSV00012;MZO00047,MSV00014 ,3M311,,
7,MZO00037,SOCIOLOGIA DAS SOCIEDADES AGRARIAS	,MGV00007;MGV00008,,**,,
7,MTA00022,TEC DE CARNES E DERIVADOS	,GCM00023;MFL00064;MZO00046;MZO00047,,4M510,,
8,MZO00040,ADMINISTRACAO RURAL,MZO00046;MZO00047;MZO00037,,2T39,,
8,MCV00078,CLÍNICA CIRÚRGICA VETERINÁRIA I,MCV00063;MCV00070;MCV00075;MCV00077,MCV00066;MCV00067;MCV00071;MCV00072,"1T37
3T37",,
